brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
REALME,14999,0.0,6,128,0,50,7000
SAMSUNG,18499,4.4,8,128,1024,50,5000
POCO,6199,3.8,4,64,2048,32,5200
SAMSUNG,20499,4.4,8,256,1024,50,5000
APPLE,69900,4.6,4,64,0,48,5075
POCO,9999,4.2,8,128,1024,50,5160
POCO,6799,4.1,6,128,2048,32,5200
GOOGLE,109999,4.6,16,256,0,48,4870
POCO,8999,4.1,6,128,1024,50,5160
MOTOROLA,13999,4.5,8,128,0,50,7000
SAMSUNG,6799,4.2,4,64,2048,50,5000
SAMSUNG,6499,4.2,4,64,1024,50,5000
MOTOROLA,7999,4.3,4,64,1024,50,7000
NOKIA,1009,3.8,4,64,0,0,800
REALME,6999,4.4,4,64,2048,32,5000
SAMSUNG,15999,4.3,6,128,2048,50,5000
MOTOROLA,9999,4.2,4,128,1024,50,5000
AI+,5999,4.3,4,64,1024,50,5000
POCO,7799,4.2,4,64,1024,50,5160
POCO,10830,4.2,8,128,1024,108,5030
REDMI,7499,4.2,4,128,2048,32,5200
MOTOROLA,16999,4.3,8,128,1024,50,6720
MOTOROLA,7299,4.2,4,64,1024,50,5100
VIVO,12999,4.4,6,128,2048,50,6000
POCO,8499,4.2,4,128,1024,50,5160
REDMI,13499,4.3,6,128,0,50,5110
MOTOROLA,12499,4.3,8,128,1024,50,5000
MOTOROLA,19999,4.4,8,256,0,50,5500
REDMI,6499,4.1,3,64,2048,32,5200
POCO,10999,4.2,8,128,1024,108,5030
REALME,7439,4.3,4,64,0,13,6300
SAMSUNG,9999,4.1,4,128,0,50,5000
GFIVE,947,3.8,4,64,0,1,3000
REALME,16999,4.4,6,128,0,50,6000
REALME,9699,4.2,6,128,2048,13,6300
REALME,10999,4.3,6,128,0,50,6000
MOTOROLA,17999,4.4,8,128,0,50,5000
REALME,23999,4.4,8,256,0,50,6000
POCO,12499,4.3,6,128,0,50,5110
JIO,745,3.7,4,64,0,3,1000
MOTOROLA,19999,4.3,8,256,1024,50,5000
SAMSUNG,8999,4.0,4,64,0,50,5000
MOTOROLA,22999,4.4,8,256,1024,50,5500
REALME,38999,4.4,12,512,0,50,7000
VIVO,15499,4.4,6,128,0,50,6500
REALME,7469,4.3,4,64,2048,13,6300
REALME,17999,4.4,8,128,0,50,6000
VIVO,16499,4.4,8,128,0,50,6500
VIVO,14999,4.3,8,256,2048,50,6000
REALME,17999,4.4,6,128,0,50,7000
IQOO,15100,4.3,8,256,0,50,6000
POCO,14499,4.3,8,256,0,50,5110
SAMSUNG,40999,4.6,8,128,0,50,4000
MOTOROLA,37999,4.4,16,512,0,50,6000
ITEL,1349,4.1,4,64,0,8,1900
SAMSUNG,19499,4.2,8,256,2048,50,5000
MOTOROLA,15999,4.4,8,128,0,50,5000
REALME,10566,4.3,4,128,0,50,6000
OPPO,13999,4.5,6,128,2048,50,6000
REALME,8199,4.3,6,128,2048,32,5000
GOOGLE,54999,4.6,12,256,0,50,4700
NOTHING,24999,4.5,8,128,0,50,5000
NOTHING,26999,4.5,8,256,0,50,5000
GOOGLE,44999,4.4,8,256,0,48,5100
MOTOROLA,29999,4.3,8,256,0,50,6000
KECHAODA,873,4.0,4,16,0,0,800
LAVA,963,4.0,4,64,0,0,1000
JMAX,599,4.1,4,64,0,3,3000
NOTHING,30999,4.5,8,256,0,50,5000
KARBONN,1299,4.1,4,64,0,12,1800
POCO,13999,4.3,8,128,2048,50,7000
NOTHING,32999,4.4,12,256,0,50,5000
KECHAODA,873,4.0,4,64,0,12,800
ONEPLUS,26990,4.5,8,256,0,50,7100
ONEPLUS,24843,4.5,8,128,0,50,7100
REDMI,16646,4.3,4,64,0,50,7000
REALME,7779,4.3,4,64,2048,13,6300
APPLE,54900,4.6,4,64,0,12,5075
REALME,10499,4.4,4,128,2048,32,6000
POCO,32999,4.4,12,512,0,20,7550
INFINIX,16999,4.4,6,128,0,64,5500
REALME,17499,4.5,6,128,2048,50,7000
VIVO,27999,4.5,8,128,0,50,6500
GOOGLE,124999,4.6,16,256,0,48,5200
LAVA,869,4.1,4,32,0,0,1
REALME,18999,4.3,8,128,2048,50,7000
VIVO,29999,4.5,8,256,0,50,6500
KECHAODA,974,4.1,4,64,0,3,850
ONEPLUS,31962,4.5,8,256,0,50,6800
ONEPLUS,28990,4.4,12,256,0,50,7100
JIO,989,3.6,4,4,0,2,1000
ONEPLUS,35172,4.5,12,256,0,50,6800
ONEPLUS,38800,4.5,4,64,0,50,6000
MOTOROLA,24999,4.3,12,256,1024,50,5500
ONEPLUS,38256,4.5,12,512,0,50,6800
ITEL,1399,4.0,4,64,0,8,2000
NOKIA,2099,3.9,4,64,0,0,1450
ONEPLUS,32808,4.5,8,256,0,50,6800
ONEPLUS,24974,4.5,8,128,0,50,7100
IQOO,16690,4.4,8,128,0,50,6500
NOKIA,2429,3.9,4,64,0,0,1450
POCO,23999,4.4,12,256,0,50,6550
VIVO,8998,4.3,4,64,2048,13,5500
VIVO,26999,4.5,12,256,0,50,7300
IQOO,12985,4.3,6,128,0,50,6000
IQOO,11965,4.2,4,128,0,50,6000
VIVO,8999,4.3,4,64,2048,13,5500
KECHAODA,989,4.1,4,64,0,3,850
REDMI,14213,4.3,4,64,0,50,7000
VIVO,20999,4.5,8,128,0,50,5700
VIVO,22999,4.5,8,256,0,50,5700
ONEPLUS,37993,4.5,4,64,0,50,6000
IQOO,15180,4.4,6,128,0,50,6500
IQOO,15190,4.3,8,256,0,50,6000
SAMSUNG,7399,4.6,4,64,2048,12,5000
VIVO,24999,4.5,8,256,0,50,7300
LAVA,890,4.1,4,64,0,0,1
LAVA,975,4.1,4,64,0,0,1
VIVO,24999,4.4,12,256,0,50,5700
POCO,12999,4.3,6,128,2048,50,7000
REDMI,16990,4.3,4,64,0,50,7000
SAMSUNG,24394,4.4,8,128,1024,50,5000
POCO,18999,4.3,8,256,0,50,5500
AI+,8999,4.1,6,128,1024,50,5000
ITEL,1099,4.1,4,64,0,3,1200
ITEL,1049,4.1,4,64,0,3,1200
REALME,16999,4.4,8,128,2048,50,6000
ITEL,1389,4.0,4,64,0,8,2000
IQOO,15190,4.4,6,128,0,50,6500
POCO,21999,4.3,8,256,0,50,6550
IQOO,20733,4.4,8,128,0,50,5700
IQOO,20774,4.4,8,128,0,50,5700
IQOO,18264,4.4,8,256,0,50,6500
REDMI,13362,4.2,8,128,0,108,5030
LAVA,1366,4.1,4,64,0,3,1750
REDMI,9248,4.3,4,128,0,50,5160
LAVA,1579,4.1,4,32,0,3,2575
LAVA,1290,4.1,4,64,0,3,1
REDMI,10790,4.2,4,128,1024,50,5160
REALME,15999,4.4,6,128,2048,50,6000
KECHAODA,873,4.0,4,64,0,0,800
SAMSUNG,9369,4.1,4,128,0,50,5000
IQOO,12977,4.3,6,128,0,50,6000
LAVA,1121,4.2,4,64,0,3,1750
LAVA,969,4.2,4,64,0,0,1000
IQOO,23778,4.3,12,256,0,50,5700
POCO,20999,4.3,12,256,0,50,5000
MOTOROLA,20999,4.3,8,256,0,50,5000
SAMSUNG,8921,4.0,4,64,0,50,5000
SAMSUNG,14900,4.2,6,128,0,50,5000
ITEL,1124,4.1,4,64,0,12,2500
SAMSUNG,7289,4.6,4,64,2048,12,5000
KECHAODA,998,4.1,4,64,0,3,850
REDMI,9990,4.2,4,64,1024,50,5160
MOTOROLA,49999,4.4,8,256,0,50,4500
AI+,6999,4.0,6,128,1024,50,5000
IQOO,34989,4.5,8,128,0,50,7000
SAMSUNG,11499,4.2,6,128,0,50,5000
JIO,744,3.7,4,64,0,3,1000
REDMI,15479,4.3,4,64,0,50,7000
REALME,14444,4.4,8,128,2048,50,6000
SAMSUNG,14609,4.2,6,128,0,50,5000
APPLE,134900,4.7,4,64,0,48,5075
REALME,22999,4.4,8,256,0,50,6000
REALME,21999,4.4,8,128,0,50,6000
REALME,23999,4.5,12,256,0,50,6000
SAMSUNG,10990,4.0,6,128,0,50,5000
ITEL,1499,4.0,4,64,0,8,2000
REALME,26999,4.4,12,256,0,50,6000
KECHAODA,973,4.1,4,64,0,3,850
KECHAODA,1890,4.0,4,64,0,3,3600
MOTOROLA,11990,4.2,6,128,0,50,5000
IQOO,37939,4.5,12,256,0,50,7000
KECHAODA,977,4.1,4,64,0,3,850
KECHAODA,970,4.1,4,64,0,3,850
KARBONN,1293,4.2,4,64,0,2,1800
SAMSUNG,9289,4.1,4,64,0,50,5000
ITEL,1665,4.1,4,64,0,8,1900
MOTOROLA,33999,4.3,12,256,0,50,6000
IQOO,40987,4.5,12,256,0,50,7000
SAMSUNG,20990,4.3,8,256,0,50,6000
LAVA,7422,4.0,4,128,0,50,5000
IQOO,24790,4.4,8,256,0,50,7300
IQOO,45999,4.7,16,512,0,50,7000
REDMI,10719,4.2,6,128,1024,50,5160
ONEPLUS,32028,4.5,8,256,0,50,6800
ONEPLUS,56462,4.5,12,512,0,50,5850
PEACE,699,4.0,4,64,0,3,2500
IQOO,37988,4.5,8,256,0,50,7000
ONEPLUS,53796,4.5,12,256,0,50,5850
REALME,25999,4.4,8,256,0,50,6000
SAMSUNG,80999,4.6,12,256,0,50,4000
REALME,29999,4.4,8,128,0,50,6000
REDMI,17888,4.2,8,256,0,50,5110
POCO,30999,4.4,12,256,0,20,7550
SAMSUNG,9190,4.1,4,64,1024,50,5000
IQOO,32700,4.5,12,256,0,50,6400
HOTLINE,499,3.4,4,64,0,3,1000
APPLE,79900,4.6,4,64,0,48,5075
REDMI,18230,4.2,8,128,0,50,5110
POCO,21999,4.3,12,256,0,50,5000
TECNO,15999,4.4,8,256,0,50,6000
APPLE,51999,4.6,4,64,0,48,5075
MOTOROLA,18999,4.4,8,128,0,50,5500
KARBONN,1242,4.2,4,64,0,5,1750
INFINIX,13999,4.3,8,128,0,50,5500
KECHAODA,1249,4.0,4,64,0,3,1700
SAMSUNG,74999,4.7,12,256,0,50,4900
JIO,3399,3.8,4,4,0,3,1800
REDMI,15499,4.3,4,64,0,50,7000
SAMSUNG,14564,4.2,6,128,0,50,5000
TECNO,14249,4.4,8,128,0,50,6000
REALME,31999,4.3,8,128,0,50,7000
REALME,35999,4.4,12,256,0,50,7000
MOTOROLA,54999,4.4,8,256,0,50,4500
SAMSUNG,33999,4.3,8,256,0,50,5000
SNEXIAN,2280,4.1,4,64,0,3,1000
INFINIX,12499,4.3,6,128,0,50,5500
LAVA,1235,4.1,4,64,0,3,1200
REDMI,17890,4.2,8,256,0,50,5110
VIVO,37999,4.5,12,256,0,50,5500
SAMSUNG,9999,4.1,4,64,1024,50,5000
IQOO,24780,4.4,8,256,0,50,7300
ITEL,1465,4.1,4,64,0,8,2500
LAVA,7429,4.0,4,128,0,50,5000
IQOO,24999,4.4,8,256,0,50,7300
SAMSUNG,106990,4.2,12,256,0,50,4400
SAMSUNG,17990,4.4,6,128,0,50,6000
REALME,29999,4.4,12,512,0,50,6000
ITEL,1488,4.1,4,64,0,8,2500
REALME,12790,4.2,6,128,0,50,6000
KECHAODA,989,4.1,4,32,0,3,850
MICROMAX,872,3.8,4,64,0,12,1000
REALME,18999,4.4,8,128,0,50,7000
VIVO,39999,4.5,12,512,0,50,5500
REALME,20999,4.4,8,256,0,50,7000
VIVO,35999,4.5,8,256,0,50,5500
SAMSUNG,8999,4.1,4,64,0,50,5000
REALME,23999,4.4,8,128,0,50,7000
LAVA,10949,4.2,6,128,0,50,5000
ITEL,1749,3.7,4,64,0,3,1000
REDMI,10999,4.2,6,128,1024,50,5160
SNEXIAN,2298,4.1,4,64,0,3,1000
KECHAODA,870,4.0,4,64,0,0,800
REDMI,9990,4.2,6,128,1024,50,5000
MOTOROLA,1179,4.0,4,64,0,0,800
IQOO,29743,4.5,8,256,0,50,6400
TECNO,17749,4.4,8,128,0,64,6000
TECNO,9529,4.1,8,128,1024,48,5000
APPLE,64900,4.6,4,64,0,12,5075
REDMI,12799,4.2,4,64,0,13,5030
SAMSUNG,14499,4.2,6,128,0,50,5000
SAMSUNG,7420,4.1,4,64,1024,50,5000
VIVO,29999,4.4,8,128,0,200,6500
TECNO,7499,4.2,4,64,1024,13,5000
JIO,2469,3.7,4,4,0,3,1500
LAVA,969,4.0,4,64,0,0,1000
KECHAODA,889,4.0,4,64,0,12,800
KARBONN,1274,4.1,4,64,0,2,1800
IQOO,21900,4.4,8,128,0,50,7300
TECNO,6699,4.4,3,64,1024,13,5000
SAMSUNG,14999,4.2,6,128,0,50,5000
REALME,33999,4.3,8,256,0,50,7000
VIVO,11499,4.4,6,128,1024,50,5000
HOTLINE,499,3.5,4,64,0,3,1000
VIVO,10499,4.4,4,128,1024,50,5000
VIVO,31999,4.4,8,256,0,200,6500
INFINIX,24999,4.4,8,256,0,108,5500
VIVO,33999,4.4,12,256,0,200,6500
JMAX,699,3.7,4,64,0,3,1000
KECHAODA,914,4.0,4,64,0,0,800
REALME,13750,4.3,8,128,0,50,6000
XIAOMI,36999,4.3,12,512,0,50,4700
REALME,35499,4.5,8,256,0,50,7000
OPPO,11499,4.3,4,64,0,32,6000
SAMSUNG,6999,4.4,4,64,0,50,5000
ACER,10890,3.1,6,128,0,64,5000
LAVA,6529,3.8,4,64,0,13,5000
VIVO,14999,4.4,4,128,0,50,6500
REALME,29999,4.4,12,256,0,50,7000
REALME,16999,4.6,6,64,0,50,7000
AI+,9999,3.8,8,128,1024,50,5000
OPPO,8999,4.1,4,64,1024,8,5100
ITEL,987,4.0,4,64,0,12,1000
REALME,27999,4.4,8,256,0,50,7000
REDMI,9989,4.2,4,64,1024,50,5160
REALME,25999,4.4,8,128,0,50,7000
TECNO,10999,4.3,4,128,1024,50,6000
IQOO,32800,4.5,12,256,0,50,6400
OPPO,12999,4.2,4,64,2048,8,5100
NOTHING,20999,4.8,8,128,0,50,5000
TECNO,8749,4.2,8,128,1024,50,5000
SAMSUNG,21399,4.3,8,128,0,50,5000
SAMSUNG,41999,4.3,8,256,0,50,5000
OPPO,13999,4.4,6,128,0,32,6000
VIVO,10499,4.3,4,64,2048,13,5500
NOTHING,22999,4.8,8,256,0,50,5000
REALME,43889,4.3,12,512,0,50,7000
MOTOROLA,1590,4.1,4,64,0,3,1000
REALME,25999,4.4,8,256,0,50,7000
SAMSUNG,105993,4.2,12,256,0,50,4400
VIVO,12999,4.2,6,128,2048,13,5500
LAVA,6389,4.0,4,64,0,13,5000
REDMI,11750,4.1,6,128,0,108,5000
OPPO,31999,4.4,8,256,0,50,5600
JMAX,699,3.6,4,64,0,1,2500
REALME,38400,4.3,12,256,0,50,7000
REALME,43892,4.3,12,512,0,50,7000
VIVO,18499,4.4,8,128,0,50,5000
LAVA,7958,4.1,4,64,0,13,5000
REALME,21999,4.4,8,256,0,50,6000
REALME,15499,4.6,4,64,0,50,7000
SAMSUNG,116999,4.2,12,512,0,50,4400
SAMSUNG,17411,4.0,8,128,0,50,5000
VIVO,22999,4.5,8,128,0,50,5500
REALME,18999,4.4,8,128,0,50,6000
SAMSUNG,17599,4.3,8,128,0,50,6000
OPPO,23999,4.4,8,256,0,50,6000
OPPO,27999,4.4,12,256,0,50,6000
REALME,39999,4.3,12,256,0,50,7000
SAMSUNG,34999,4.1,12,256,1024,50,5000
REDMI,8999,4.1,4,128,1024,8,5000
LAVA,894,4.1,4,64,0,12,1000
NOKIA,1399,3.4,4,64,0,0,800
HOTLINE,499,3.5,4,64,0,2,1050
OPPO,24999,4.3,8,128,0,50,7000
REDMI,9999,4.2,4,128,1024,50,5160
TECNO,18749,4.4,8,256,0,64,6000
LAVA,999,4.0,4,64,0,3,1
SAMSUNG,14999,4.3,4,64,0,48,6000
ITEL,986,4.0,4,64,0,12,1000
KECHAODA,989,4.0,4,64,0,3,800
KECHAODA,974,4.1,4,32,0,3,850
XIAOMI,29999,4.3,8,256,0,50,4700
MTOUCH,2098,3.9,4,64,0,3,3000
VIVO,149999,4.6,16,512,0,50,6000
REALME,26999,4.2,12,256,0,50,7000
CMF,15999,4.4,6,128,2048,50,5000
REDMI,27349,4.4,8,256,0,50,6200
HOTLINE,890,3.9,4,64,0,3,3000
INFINIX,19499,4.4,8,128,0,64,5500
OPPO,12999,4.5,6,128,1024,32,5100
POCO,21999,4.3,8,256,0,64,5100
OPPO,26999,4.3,8,256,0,50,7000
MOTOROLA,20999,4.4,12,256,0,50,5000
IQOO,71481,3.5,4,64,0,50,7000
SAMSUNG,15781,4.2,8,128,0,50,5000
OPPO,20990,4.4,8,128,0,64,5000
OPPO,31999,4.1,12,256,0,50,7000
VIVO,15496,4.4,6,128,1024,50,5500
HOTLINE,799,3.9,4,64,0,3,3000
SAMSUNG,13890,4.3,6,128,0,50,5000
ONEPLUS,26699,4.5,8,256,0,50,5500
INFINIX,19999,4.4,8,256,0,64,5500
ITEL,1396,3.9,4,64,0,3,1500
REALME,11280,4.2,4,128,2048,32,6000
OPPO,41999,4.5,12,256,0,50,6000
