brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
REALME,34999,4.4,8,256,0,50,7000
VIVO,16999,4.4,8,128,1024,50,5500
VIVO,18999,4.4,8,256,1024,50,5500
VIVO,13999,4.3,4,128,1024,50,5500
SAMSUNG,13320,4.3,6,128,0,50,5000
APPLE,81999,4.6,4,64,0,48,5075
OPPO,39499,4.5,8,256,0,50,6000
TECNO,12999,4.3,8,128,1024,48,5000
CMF,17999,4.4,8,128,2048,50,5000
POCO,11999,4.2,4,128,2048,50,7000
SAMSUNG,15999,4.3,8,128,0,50,5000
OPPO,15999,4.4,8,256,1024,32,5100
REALME,10997,4.2,4,64,2048,32,6000
SAMSUNG,126999,4.6,12,512,0,200,5000
TECNO,9999,4.1,4,64,1024,48,5000
SAMSUNG,17499,4.2,8,128,2048,50,5000
OPPO,34998,4.4,12,256,0,50,4600
SAMSUNG,19999,4.2,8,256,0,50,5000
SAMSUNG,21000,4.4,6,128,0,50,6000
HMD,1287,3.8,4,64,0,12,1000
VIVO,10900,4.3,4,64,1024,50,5000
SAMSUNG,13999,4.3,6,128,0,50,5000
REALME,20895,4.5,8,256,0,50,6000
REALME,22995,4.4,12,256,0,50,6000
HMD,2149,4.0,4,64,0,8,1000
SNEXIAN,619,3.4,4,64,0,3,800
NOKIA,1499,3.6,4,64,0,0,1000
TECNO,11999,4.3,6,128,1024,108,5000
INFINIX,17999,4.4,8,128,0,64,5500
SAMSUNG,109986,4.6,12,256,0,200,5000
GOOGLE,79999,4.5,12,256,0,48,4970
LAVA,9499,3.8,6,128,0,50,5000
REDMI,21379,4.4,8,128,0,50,5500
OPPO,12499,4.3,4,128,0,32,6000
OPPO,11499,4.2,4,128,2048,8,5100
REALME,15999,4.3,6,128,0,50,5000
VIVO,28878,4.4,8,256,0,50,5600
VIVO,40999,4.5,12,256,0,50,6500
ITEL,3099,4.0,4,64,0,8,1200
OPPO,11989,4.1,4,64,1024,8,5100
ONEPLUS,72689,4.4,12,256,0,50,7300
ONEPLUS,73102,4.4,12,256,0,50,7300
REALME,41999,4.5,12,512,0,50,7000
OPPO,29999,4.5,8,256,0,50,7000
REALME,37999,4.5,12,256,0,50,7000
OPPO,23500,4.4,8,128,0,64,5000
APPLE,51999,4.5,4,64,0,48,5075
OPPO,27999,4.4,8,256,0,64,5000
OPPO,19728,4.4,8,128,0,50,6500
ITEL,6799,4.0,2,32,0,8,4000
GAMMA,1999,3.8,4,64,0,2,1000
APPLE,59999,4.6,4,64,0,48,5075
VIVO,26939,4.4,8,256,0,50,5600
ITEL,5999,4.0,2,32,0,8,4000
REALME,20345,4.5,8,256,0,50,6000
SAMSUNG,129999,4.6,12,256,0,200,5000
SAMSUNG,33990,4.3,12,256,1024,50,5000
AMOZKART,1999,3.9,4,64,0,2,1800
SAMSUNG,119999,4.6,12,256,0,200,5000
MADAAN,1600,0.0,4,64,0,12,900
SAMSUNG,36999,4.4,12,256,0,50,5000
REDMI,8470,4.1,6,128,1024,8,5000
MOTOROLA,20999,4.4,8,256,0,50,4310
OPPO,15835,4.3,8,128,1024,50,5100
REDMI,26296,4.4,8,128,0,50,6200
IQOO,26709,4.4,12,256,0,50,7300
REALME,26999,4.3,12,512,0,50,5200
REALME,23999,4.3,8,256,0,50,5200
REALME,21999,4.3,8,128,0,50,5200
VIVO,24999,4.4,8,128,0,50,5600
REALME,24999,4.3,8,256,0,50,7000
SAMSUNG,113999,4.4,8,512,0,12,3700
KARBONN,1499,4.0,4,64,0,2,2500
REDMI,22085,4.4,8,256,0,50,5500
REDMI,29999,4.3,12,512,0,200,5000
REDMI,13890,4.2,4,64,0,13,5030
SAMSUNG,8499,3.8,4,128,1024,50,5000
SAMSUNG,95480,4.2,12,512,0,50,4000
CAUL,1650,3.8,4,64,0,2,1000
REALME,8499,4.3,4,64,2048,50,5000
KECHAODA,889,4.0,4,16,0,0,800
MOTOROLA,1199,4.0,4,64,0,0,800
VIVO,27999,4.3,8,128,0,64,4500
SAMSUNG,15499,4.2,8,128,0,50,5000
REALME,8999,4.3,4,128,2048,50,5000
SAMSUNG,17499,4.3,8,128,0,50,5000
SAMSUNG,19699,4.2,4,256,0,50,5000
LAVA,7499,4.1,4,64,0,50,5000
KECHAODA,930,4.0,4,64,0,0,800
OPPO,23999,4.4,8,256,0,50,6500
LAVA,19049,3.9,8,128,0,50,5000
REALME,11990,4.2,4,128,2048,32,6000
ITEL,990,4.1,4,64,0,3,1200
REDMI,18997,4.2,8,128,0,50,5110
SAMSUNG,18690,4.3,6,128,2048,50,5000
TECNO,17999,4.3,8,128,0,64,5500
TECNO,6899,4.3,3,64,1024,13,5000
SNECTIAN,2116,3.8,4,64,0,2,1800
REALME,22999,4.3,8,128,0,50,7000
VIVO,18999,4.3,8,128,0,50,6500
