brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
REALME,7587,4.3,4.0,64.0,0.0,13.0,6300.0
MOTOROLA,24999,4.4,12.0,256.0,1024.0,50.0,5500.0
INFINIX,16999,4.4,6.0,128.0,0.0,64.0,5500.0
SAMSUNG,24433,4.4,8.0,128.0,1024.0,50.0,5000.0
POCO,21999,4.3,8.0,256.0,0.0,50.0,6550.0
GOOGLE,54999,4.6,12.0,256.0,0.0,50.0,4700.0
JIO,750,3.7,,,0.0,3.0,1000.0
LAVA,998,4.2,,,0.0,0.0,1000.0
KECHAODA,873,4.0,,16.0,0.0,0.0,800.0
ONEPLUS,38299,4.5,12.0,512.0,0.0,50.0,6800.0
VIVO,8977,4.3,4.0,64.0,2048.0,13.0,5500.0
VIVO,26999,4.5,12.0,256.0,0.0,50.0,7300.0
VIVO,22999,4.5,8.0,128.0,0.0,50.0,7300.0
APPLE,54900,4.6,,,0.0,12.0,15.0
NOTHING,30999,4.5,8.0,256.0,0.0,50.0,5000.0
NOTHING,28999,4.5,8.0,128.0,0.0,50.0,5000.0
KARBONN,1299,4.2,,,0.0,2.0,1800.0
MOTOROLA,29999,4.3,8.0,256.0,0.0,50.0,6000.0
REALME,18999,4.3,8.0,128.0,2048.0,50.0,7000.0
ONEPLUS,26978,4.5,8.0,256.0,0.0,50.0,7100.0
NOTHING,32999,4.4,12.0,256.0,0.0,50.0,5000.0
IQOO,16490,4.4,8.0,128.0,0.0,50.0,6500.0
IQOO,16690,4.4,8.0,128.0,0.0,50.0,6500.0
LAVA,956,4.0,,,0.0,,1.0
ONEPLUS,18198,4.4,8.0,128.0,0.0,50.0,5500.0
POCO,23999,4.4,12.0,256.0,0.0,50.0,6550.0
KECHAODA,873,4.0,,,0.0,,400.0
ONEPLUS,22235,4.4,8.0,256.0,0.0,50.0,5500.0
LAVA,1205,4.1,,,0.0,3.0,1200.0
MOTOROLA,18999,4.4,8.0,128.0,0.0,50.0,5500.0
VIVO,20999,4.5,8.0,128.0,0.0,50.0,5700.0
VIVO,22999,4.5,8.0,256.0,0.0,50.0,5700.0
ONEPLUS,24973,4.5,8.0,128.0,0.0,50.0,7100.0
MOTOROLA,24999,4.3,12.0,256.0,1024.0,50.0,5500.0
IQOO,18277,4.4,8.0,256.0,0.0,50.0,6500.0
ONEPLUS,28990,4.4,12.0,256.0,0.0,50.0,7100.0
ITEL,1399,4.0,,,0.0,8.0,2000.0
ONEPLUS,18999,4.4,8.0,128.0,0.0,50.0,5500.0
ONEPLUS,17950,4.4,8.0,128.0,0.0,50.0,5500.0
SAMSUNG,9368,4.1,4.0,128.0,0.0,50.0,5000.0
ONEPLUS,32390,4.5,8.0,256.0,0.0,50.0,6800.0
ONEPLUS,24980,4.5,8.0,128.0,0.0,50.0,7100.0
IQOO,15180,4.4,6.0,128.0,0.0,50.0,6500.0
KECHAODA,879,4.0,,,0.0,,
REDMI,8346,4.3,4.0,64.0,0.0,50.0,5160.0
MICROMAX,869,3.7,,,0.0,,1.0
IQOO,17990,4.4,8.0,256.0,0.0,50.0,6500.0
VIVO,24999,4.4,12.0,256.0,0.0,50.0,5700.0
GOOGLE,79999,4.5,12.0,256.0,0.0,48.0,4970.0
KARBONN,1299,4.1,,,0.0,2.0,1800.0
ONEPLUS,26999,4.5,8.0,256.0,0.0,50.0,7100.0
REDMI,9153,4.3,4.0,128.0,0.0,50.0,5160.0
APPLE,134900,4.7,,,0.0,48.0,19.0
IQOO,15150,4.4,6.0,128.0,0.0,50.0,6500.0
ITEL,1389,4.0,,,0.0,8.0,2000.0
