,product_name,ram_rom,camera,battery,price,rating
86,"REDMI Note 14 SE 5G (Titan Black, 128 GB)",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,"₹13,499",4.3
87,"POCO C75 5G (Enchanted Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,"₹7,799",4.2
88,"realme 15 Pro 5G (Flowing Silver, 512 GB)",12 GB RAM | 512 GB ROM,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,"₹38,999",4.4
89,"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)",6 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,"₹10,997",4.3
90,"POCO M7 Pro 5G (Olive Twilight, 128 GB)",6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,"₹12,499",4.3
91,"REDMI Note 14 SE 5G (Mystique White, 128 GB)",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,"₹13,499",4.3
92,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",8 GB RAM | 128 GB ROM,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,"₹31,999",4.5
93,"MOTOROLA Edge 60 Stylus (PANTONE Surf the Web, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,"₹19,999",4.3
94,"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 12MP + 5MP | 32MP Front Camera,5000 mAh Battery,"₹26,918",4.4
95,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,"₹22,999",4.4
